Metric:  MAE	| NMAE	| RMSE	| MRE	| NPRE
Avg:	0.7135	0.5196	1.9769	0.2652	0.8525	
Std:	0.0067	0.0040	0.0176	0.0028	0.0068	

==========================================
Detailed results for 20 rounds:
0.7300	0.5287	2.0191	0.2696	0.8608	
0.7139	0.5213	1.9762	0.2682	0.8473	
0.7148	0.5180	1.9770	0.2637	0.8469	
0.7202	0.5244	2.0042	0.2618	0.8450	
0.7219	0.5231	1.9861	0.2721	0.8601	
0.7200	0.5248	2.0011	0.2675	0.8557	
0.7170	0.5233	1.9760	0.2672	0.8667	
0.7090	0.5188	1.9679	0.2657	0.8502	
0.7057	0.5156	1.9522	0.2624	0.8449	
0.7085	0.5163	1.9627	0.2642	0.8570	
0.7150	0.5203	1.9848	0.2634	0.8499	
0.7124	0.5204	1.9725	0.2648	0.8636	
0.7149	0.5179	1.9721	0.2652	0.8476	
0.7136	0.5178	1.9878	0.2607	0.8423	
0.7183	0.5219	1.9896	0.2671	0.8615	
0.6985	0.5105	1.9422	0.2617	0.8484	
0.7075	0.5151	1.9656	0.2654	0.8485	
0.7090	0.5178	1.9686	0.2640	0.8536	
0.7135	0.5187	1.9745	0.2651	0.8489	
0.7069	0.5181	1.9588	0.2634	0.8516	
