Metric:  MAE	| NMAE	| RMSE	| MRE	| NPRE
Avg:	5.1126	0.4602	40.7735	0.2949	0.9422	
Std:	0.1735	0.0131	4.0401	0.0024	0.0068	

==========================================
Detailed results for 20 rounds:
5.1423	0.4619	38.6728	0.2951	0.9478	
5.0637	0.4558	35.1682	0.2980	0.9494	
5.2591	0.4655	44.2919	0.2956	0.9358	
5.0054	0.4548	37.3416	0.2956	0.9357	
4.9850	0.4479	36.0115	0.2967	0.9322	
5.0916	0.4596	40.8272	0.2917	0.9503	
5.0797	0.4598	36.1372	0.2928	0.9460	
5.2244	0.4676	46.3019	0.2976	0.9453	
5.3258	0.4691	43.3869	0.3008	0.9437	
5.1696	0.4603	39.5269	0.2941	0.9404	
5.0586	0.4574	43.6885	0.2961	0.9459	
4.8304	0.4401	35.2415	0.2919	0.9397	
4.9011	0.4489	39.5715	0.2943	0.9406	
4.9462	0.4519	38.8198	0.2976	0.9339	
5.6514	0.5084	51.6897	0.2941	0.9547	
4.9448	0.4490	40.1529	0.2927	0.9535	
5.0859	0.4624	43.8471	0.2942	0.9432	
5.1907	0.4614	41.0174	0.2927	0.9336	
5.1948	0.4645	43.8163	0.2913	0.9310	
5.1009	0.4571	39.9590	0.2954	0.9409	
